ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
1;10.0;-14.8;6.84;4.74;Pozitivno;Da
2;10.0;-10.4;6.8;5.64;Pozitivno;Ne
3;15.0;-22.2;6.85;4.91;Pozitivno;Da
4;10.6;-31.8;6.56;4.87;Pozitivno;Ne
5;7.7;-12.5;7.11;6.06;Pozitivno;Da
6;11.7;-17.1;7.11;4.92;Pozitivno;Da
7;10.3;-22.7;7.3;4.07;Pozitivno;Ne
8;10.3;-25.5;6.85;5.2;Pozitivno;Da
9;12.6;-21.9;6.75;4.94;Pozitivno;Da
10;6.4;-23.0;7.07;4.96;Pozitivno;Da
11;11.1;-25.9;7.44;5.1;Pozitivno;Da
12;9.8;-15.9;7.26;4.7;Pozitivno;Da
13;12.4;-17.7;6.78;4.86;Pozitivno;Da
14;13.9;-16.6;7.14;4.42;Pozitivno;Da
15;10.5;-25.8;7.01;5.2;Pozitivno;Ne
16;10.1;-19.1;7.16;4.59;Pozitivno;Ne
17;7.6;-20.6;7.26;4.64;Pozitivno;Da
18;9.1;-17.7;7.04;4.71;Pozitivno;Ne
19;11.5;-20.2;7.44;5.41;Pozitivno;Da
20;12.0;-12.7;7.24;4.22;Pozitivno;Da
21;10.4;-20.3;7.02;4.84;Pozitivno;Da
22;6.1;-25.0;7.07;5.27;Pozitivno;Ne
23;8.7;-18.0;6.97;4.95;Pozitivno;Da
24;13.2;-25.9;7.73;5.24;Pozitivno;Da
25;8.6;-26.9;6.75;5.19;Pozitivno;Da
26;7.9;-16.0;7.1;5.04;Pozitivno;Da
27;10.0;-16.0;7.11;4.7;Pozitivno;Da
28;7.6;-16.4;6.96;5.1;Pozitivno;Da
29;10.5;-26.8;6.76;3.82;Pozitivno;Da
30;12.2;-15.2;7.23;5.13;Pozitivno;Da
31;9.8;-12.5;6.79;4.68;Pozitivno;Da
32;11.1;-25.8;6.45;4.58;Pozitivno;Da
33;6.1;-19.9;7.21;4.67;Pozitivno;Da
34;6.9;-21.0;7.04;4.5;Pozitivno;Ne
35;7.5;-29.3;7.31;5.71;Pozitivno;Da
36;10.2;-18.0;6.74;3.73;Pozitivno;Da
37;10.2;-21.9;7.02;5.43;Pozitivno;Da
38;11.2;-23.7;7.12;4.96;Pozitivno;Da
39;8.1;-18.2;7.05;4.78;Pozitivno;Ne
40;10.4;-19.3;6.77;5.85;Pozitivno;Da
41;10.8;-25.3;7.01;5.22;Pozitivno;Da
42;7.3;-17.2;6.86;5.32;Pozitivno;Da
43;6.9;-20.4;6.99;4.97;Pozitivno;Da
44;10.8;-13.6;7.07;4.35;Pozitivno;Da
45;9.2;-24.8;6.85;4.68;Pozitivno;Da
46;7.6;-23.6;6.84;4.9;Pozitivno;Ne
47;13.4;-16.8;7.1;4.39;Pozitivno;Da
48;11.5;-21.9;6.86;4.79;Negativno;Da
49;11.8;-15.6;7.08;4.36;Negativno;Da
50;6.5;-34.3;7.36;4.61;Pozitivno;Da
51;11.5;-27.4;7.07;5.22;Pozitivno;Ne
52;8.8;-17.9;7.08;4.29;Pozitivno;Da
53;12.2;-19.1;6.99;5.23;Pozitivno;Da
54;10.0;-24.5;6.93;3.98;Pozitivno;Ne
55;8.7;-24.8;7.04;5.56;Pozitivno;Da
56;10.5;-25.6;7.08;5.3;Pozitivno;Da
57;11.3;-17.5;7.02;4.84;Pozitivno;Ne
58;9.6;-17.2;7.25;4.63;Pozitivno;Da
59;10.0;-25.1;7.2;4.99;Pozitivno;Da
60;10.9;-15.3;7.42;5.45;Pozitivno;Da
61;11.7;-14.7;6.93;4.06;Pozitivno;Da
62;12.2;-25.3;6.76;4.85;Pozitivno;Da
63;8.7;-18.3;6.96;4.19;Pozitivno;Ne
64;8.0;-9.4;6.97;4.95;Pozitivno;Da
65;12.0;-23.3;7.11;5.04;Pozitivno;Ne
66;10.4;-18.8;6.87;4.42;Pozitivno;Da
67;10.7;-16.8;6.92;5.16;Pozitivno;Da
68;9.8;-21.7;7.02;4.65;Pozitivno;Da
69;7.1;-22.1;7.07;5.25;Pozitivno;Da
70;11.2;-15.9;6.86;5.42;Pozitivno;Da
71;11.3;-13.4;7.16;4.55;Pozitivno;Da
72;7.1;-14.1;6.92;5.16;Pozitivno;Da
73;11.6;-14.3;7.15;5.09;Pozitivno;Da
74;8.3;-23.9;6.91;5.19;Pozitivno;Da
75;13.7;-13.2;7.0;5.46;Pozitivno;Da
76;8.1;-24.7;7.04;4.97;Pozitivno;Da
77;7.4;-15.9;7.24;5.55;Pozitivno;Da
78;13.8;-17.3;7.02;4.8;Negativno;Da
79;11.6;-18.2;7.13;5.0;Negativno;Da
80;8.4;-18.7;7.25;5.35;Pozitivno;Ne
81;9.0;-16.5;6.85;5.5;Negativno;Da
82;10.6;-20.9;6.97;4.51;Pozitivno;Da
83;11.5;-26.6;7.08;4.87;Pozitivno;Da
84;11.3;-23.9;7.59;5.4;Pozitivno;Da
85;8.7;-13.6;6.9;4.62;Pozitivno;Da
86;8.0;-28.2;6.91;4.64;Pozitivno;Da
87;5.3;-22.9;6.84;5.0;Pozitivno;Da
88;7.8;-24.0;6.92;6.15;Pozitivno;Da
89;14.2;-12.7;6.97;4.74;Pozitivno;Da
90;9.9;-31.5;6.68;5.31;Pozitivno;Da
91;3.8;-18.5;7.16;5.83;Pozitivno;Ne
92;7.3;-19.5;6.83;4.56;Pozitivno;Da
93;10.5;-25.8;6.93;5.07;Pozitivno;Da
94;5.0;-21.5;7.29;5.38;Pozitivno;Da
95;14.4;-17.6;6.65;3.84;Pozitivno;Da
96;6.8;-15.2;6.97;5.38;Pozitivno;Da
97;7.0;-18.3;7.13;5.06;Pozitivno;Da
98;14.0;-21.3;7.0;4.57;Negativno;Da
99;11.6;-26.3;7.01;5.87;Pozitivno;Da
100;11.9;-18.8;6.96;5.05;Pozitivno;Da
101;10.9;-20.3;6.78;4.75;Pozitivno;Da
102;11.8;-21.1;6.66;4.8;Pozitivno;Da
103;7.6;-16.1;6.59;4.17;Negativno;Da
104;14.5;-18.2;7.48;4.54;Pozitivno;Da
105;6.5;-23.0;6.93;5.0;Pozitivno;Da
106;7.2;-20.7;6.72;5.15;Pozitivno;Ne
107;7.3;-21.7;6.88;5.44;Pozitivno;Da
108;13.0;-19.8;6.89;4.38;Negativno;Da
109;9.9;-20.1;7.21;5.09;Pozitivno;Da
110;7.2;-24.3;7.17;4.63;Pozitivno;Da
111;13.8;-17.9;6.94;4.26;Pozitivno;Da
112;8.8;-19.7;6.63;5.86;Pozitivno;Da
113;12.7;-21.8;6.8;4.41;Negativno;Ne
114;10.6;-17.1;6.7;5.43;Pozitivno;Ne
115;6.7;-15.8;6.98;5.09;Pozitivno;Ne
116;7.2;-27.8;7.02;4.71;Negativno;Ne
117;11.3;-15.4;7.02;4.83;Pozitivno;Da
118;7.7;-33.7;6.77;4.42;Pozitivno;Da
119;11.2;-20.0;7.07;5.69;Pozitivno;Ne
120;9.9;-9.4;7.17;4.88;Pozitivno;Da
121;10.3;-22.2;6.92;4.81;Pozitivno;Da
122;13.5;-18.9;6.79;4.61;Pozitivno;Da
123;10.3;-15.8;6.59;4.83;Pozitivno;Da
124;8.5;-17.4;6.9;5.47;Negativno;Ne
125;12.9;-26.3;6.99;5.34;Pozitivno;Ne
126;9.2;-17.7;6.76;4.7;Pozitivno;Da
127;11.8;-24.1;7.5;5.42;Pozitivno;Da
128;8.4;-17.1;6.89;5.66;Negativno;Da
129;10.0;-19.9;7.18;4.59;Pozitivno;Ne
130;9.9;-22.4;7.02;4.23;Pozitivno;Da
131;7.9;-19.8;6.88;5.4;Pozitivno;Ne
132;13.4;-13.3;6.84;4.4;Pozitivno;Da
133;10.5;-15.2;6.97;4.59;Pozitivno;Da
134;8.5;-21.3;6.78;4.86;Pozitivno;Da
135;8.8;-15.6;6.72;5.23;Pozitivno;Da
136;6.5;-19.3;7.23;4.41;Pozitivno;Da
137;11.0;-11.1;7.16;5.15;Pozitivno;Da
138;10.2;-28.9;6.94;5.26;Negativno;Ne
139;14.5;-17.4;6.93;4.32;Pozitivno;Da
140;10.2;-13.8;6.73;4.1;Pozitivno;Ne
141;9.5;-21.8;6.92;3.89;Pozitivno;Da
142;9.3;-31.3;6.91;5.05;Pozitivno;Da
143;9.4;-14.3;6.79;4.86;Pozitivno;Da
144;10.5;-27.7;6.73;4.64;Negativno;Ne
145;6.7;-13.2;7.15;4.81;Pozitivno;Da
146;9.0;-17.4;7.29;4.14;Pozitivno;Da
147;13.6;-21.1;7.01;4.82;Pozitivno;Da
148;10.0;-23.5;7.28;4.73;Negativno;Da
149;7.9;-22.9;7.05;5.12;Negativno;Da
150;7.9;-13.4;7.17;5.41;Pozitivno;Da
151;9.7;-21.3;7.07;4.14;Pozitivno;Da
152;10.9;-15.0;6.8;4.35;Pozitivno;Da
153;13.1;-23.7;6.81;4.31;Pozitivno;Da
